ID	P1Q1	P1Q2	P1Q3	P1Q4	P1Q5	P1Q6	P1Q7	P1Q8	P1Q9	P2Q1	P2Q2	P2Q3	P2Q4	P2Q5	P2Q6	P2Q7	P2Q8	P2Q9	P2Q10	P3Q1	P3Q2	P3Q3	P3Q4	P3Q5	P3Q6	P3Q7	P3Q8	P3Q9	P3Q10	P4Q1	P4Q2	P4Q3	P4Q4	P4Q5	P4Q6	P4Q7	P4Q8	P4Q9	P4Q10
10	"5
3"	E	"A, B, C"	break 56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"	44	51	2	"A, C, D"	"B, D"	"E, C, B, F, L, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"26, 28, 34, 21, 30, 54"	F	7	"mad
mid
midterm
mind
mint"	B	4	4	10	4	3	B	C	"C, E"
11	"5
3"	D	"A, B, C"	break 56	"h
l
o"	"B, C"	D	"C, D"	"A, B, C, E, F"	160	50	2	"A, C, D"	D	"E, C, F, B, G, L, A"	C	A	2	B	"A, C, D"	2	"13, 12, 15, 5, 18, 26"	2	1	"A, C"	"26, 21, 24, 28, 34, 54"	"26, 21, 34, 28, 30, 54"	"A, B, C, D"	6	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	25	4	9	C	G	"A, C, E"
12	"x = 5
y = 3"	"D, E"	"A, B, C"	b myprogram.cpp:56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, E, F"	1	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"30, 26, 34, 21, 28, 54"	A	9	"mad
mid
midterm
mint
mind"	"B, D"	4	4	8	4	3	B	C	"C, E"
13	"5
3"	D	"A, B, C"	b 56	"h
l
o
"	B	D	"A, B, C, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	B	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"28, 26, 34, 21, 24, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	25	4	5	B	C	"A, B, C, E"
14	"5
5"	E	"A, B, C"	break 56	hlo	"B, C"	E	"B, D"	"A, B, C, F"	44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	1	2	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"C, D"	5	"mad
mid
midterm
mind
mint"	B	4	4	10	5	4	B	C	"A, D, E"
15	"5
3"	D	"A, B, C"	break myprogram.cpp:56	hlo	"B, C"	E	"B, C, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, C, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C"	3	"13, 12, 18, 5, 15, 26"	2	1	"B, C, D"	"34, 21, 54, 24, 26, 28"		"A, B, C, D, E"	7	"mad
mid
midterm
mind
mint"	"B, D"	4	4	6	4	3	B	C	"A, C, E"
16	"5
3"	"D, E"	"A, B, C"	break 56	hlo	"A, B, D"	E	"B, C, D"	"A, B, C, E, F"	44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	2		2	0	C	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	7	"mad
mid
midterm
mind
mintd"	B	4	4	9	9	8	B	B	"B, C"
17	"5
3"	D	"A, B, C"	break 56	"h
l
o"	"A, B, C"	E	"B, C, D"	"A, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	E	"A, C, D"	2	"13, 12, 26, 5, 18, 15"	2	1	A	"34, 26, 21, 24, 28, 54"		"A, B, C, D, E"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	4	B	C	"C, E"
18	"5
3"	D	"A, B, C"	break 56	"h
l
o"	E	E	B	G	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	1	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	3		B	C	E
19	"5
3
"	"D, E"	"A, B, C"	break 56	"h
l
o
"	B	E	"B, C, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	4	B	C	"C, E"
20	"5
3"	D	"A, B, C"	break 56	"h
l
o"	B	E	"B, C, D"	"A, B, C, F"	44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	1	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	3	B	C	"C, D, E"
21		D	"A, B, C"	b myprogram.cpp:56	"h
l
o"	B	E	"A, B, C, D"	"A, B, F"	44	50	0	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	2	"13, 12, 18, 5, 15, 26"			B			F	4	"mad
mid
midterm
mind
mint"	"B, D"	4	4	24	4	4	B	B	"C, E"
22	"5
3"	"D, E"	"A, B, C"	b 56	"h
l
o"	B	E	"A, B, C, D"	"A, B, C, E, F"	44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	5	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"28, 26, 34, 21, 24, 54"	"28, 26, 30, 21, 34, 54"	"A, B, C, D"	4	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	5	4	5	B	C	"C, E"
23	"5
3"	D	"A, C"	b  56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"	44	49	2	"A, C, D"	D	"E, C, L, B, F, A, G"	C	A	2	B	"A, C"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	8	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	3	B	C	C
24	"5
3"	E	"A, B, C"	break 56	"h
l
o"	B	E	D	"A, D, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, G, A"	C	A	2	"A, D"	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"C, D"	7	"mad
mid
midterm
mind
mint"		4	4	8	4				
25	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, E, F"	44	50	2		"B, D"	"A, B, C, E, L, F, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	C					"MAD
MID
MIDTERM
MIND
MINT"	B	4	4						"C, E"
26	"5
3"	E	"A, B, C"	b 56	hlo	B	E	"B, C, D"	"A, B, C, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 15, 5, 18, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	8	4	4	B	C	"C, E"
27	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	B	E	"B, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	C	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT
"	B	4	4	9	4	5	B	G	"C, D, E"
28	"5
3"	"D, E"	"A, B, C"	b 56	hlo	B	E	"B, C"	"A, B, C, E, F"	213	49	2	"A, C, D"	B	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 15, 5, 18, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT
"	"B, D"	4	4	9	3	6	B	C	"C, E"
29	"5
3
"	D	"A, B, C"	b myprogram.cpp:56	hl!	C	E	"B, C, D"	"A, B, C, E, F"	44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	4	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	4	4	B	C	"A, B, C, E"
30	"5
3"	E	"A, C"	break 56	"h
l
!"	B	E	"B, D"	"D, E"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	6	"MAD
MID
MIDTERM
MIND
MINT
"	B	4	4	13	4	5	B	C	"C, E"
31	"2
5"	D	"A, B, C"	break 56	hlo	"A, B"	D	"B, C, D"	G	44	6	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	4	B	C	"A, B, C, D, E"
32	"5
3"	D	"A, B, C"	break 56	hlo	"B, C"	E			44	49	1	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	3	B	C	"C, D"
33	"5
3"	D	"A, B, C"	b 56	"h
l
o"	B	E	"B, D"	"A, B, C, F"	44	50	2	"A, C, D"	B	"E, C, L, B, F, A, G"	B	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	5	"MAD
MID
MIDTERM
MIND
MINT"	C	5	4	9	6	9	B	B	E
34	"5
3"	"D, E"	"A, B, C"	break 56	"h
l
o"	B	E	"B, C, D"	"A, B, F"	44	50	2	"A, B, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	9	4	5	B	C	"C, E"
35	"5
3"	"D, E"	"A, B, C"	b 56	hlo	B	E	"B, C, D"	"A, B, C, E, F"	45	48	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	9	B	E	"C, E"
36	"5
5"	D	"A, B, C"	br myprogram.cpp:56	hlo	"B, C, D"	D	"C, D"	"A, B, C, E, F"	44	49	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	2	1	"A, B, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	8	"MAD
MID
MIDTERM
MINT
MIND"	"B, D"	4	4	10	4	9	B	C	"C, E"
37	"5
3"	"D, E"	"A, B, C"	break 56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	5	B	C	"C, E"
38	"5
3"	D	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"B, C"	E	"A, B"	"A, B, C, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 26, 5, 15, 18"	2	1	C	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	4	B	C	"C, E"
39	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	B	D	"B, C, D"	"A, B, C, E, F"	44	50	2	"A, B, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	C	"A, C, D"	1	"13, 12, 26, 5, 18, 15"	2	1	"A, B, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	F	8	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	12	4	4	E	C	"C, D, E"
40	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"B, F"	44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	B	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	C	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	3	B	C	"C, E"
41	"5
3"	"D, E"	"A, C"	break myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"	0	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	C	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	3	1	"A, B"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D, E"	7	"Mad
Mid
Midterm
Mind
Mint"	B	4	4	10	4	5	B	C	"C, E"
42	"5
3"	D	"A, B, C"	break 56	"h
l
o"	"A, B, C"	E	"B, C, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	8	4	6	B	C	"C, E"
43	"5
3"	"D, E"	"A, B, C"	b myprogram.cpp:56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	1	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT
"	B	4	4	9	4	9	B	E	C
44	"5
3"	"D, E"	D	break myprogram.cpp: 56	"h
l
o"	C	E	"B, C, D"	"A, C, E"		50	2	"A, C, D"	B	"E, C, L, B, F, A, G"	C	B	1	B	"C, D"	2	"13, 12, 26, 18, 5, 15"	2	1	E		"34, 26, 54, 21, 28, 30"	A	9	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	5	B	E	"A, C, E"
45	"5
5"	"D, E"	"A, B, C"	break 56	"h
l
o"	B	E	"B, C, D"	"A, B, F"	43	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	C	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	4	5	B	C	"C, E"
46	"5
3"	E	"A, B, C"	break 56	"h
l
o"	C	E	"A, D"	"A, B, C, F"	44	99	2	"A, C, D"	D	"E, C, G, B, F, L, A"	C	A	3	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"C, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"C, D, E"	6	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	5	5	B	C	"A, C"
47	"2
3"	E	"A, B, C"	break 56	"h
l
o"	B	E	"A, B, D"	"A, B, C, F"	44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	C	2	B	"A, C"	4	"13, 12, 26, 5, 15, 18"	2	2	"A, C"	"34, 24, 54, 26, 21, 28"	"34, 26, 54, 21, 28, 30"	"A, B, C, D, E"	7	"MAD
MID
MIDTERM
MINT
MIND"	"B, D"	4	4	10	4	3	B	C	"C, E"
48	"5
3"	"D, E"	"A, B, C"	break 56	"h
l
o"	"B, C"	E	"A, C, D"	"A, B, C, E, F"	17	7	2	"A, C, D"	"B, D, E"	"E, C, F, B, G, L, A"	B	A	2	D	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, B, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"D, E"	7	"MAD
MID
MIDTERM
MIND
MINT


"	"B, D"	4	4	7	5	4	B	C	"C, D"
49	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"B, D"	E	"B, C, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	5	B	C	"C, E"
50	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"A, B, D"	E	"B, C, D"	"A, B, C, F"	44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	C	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	9	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	9	3	7			
51	"5
3"	D	"A, B, C"	break myprogram.cpp 56	"h
l
o"	C	C	"A, B, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, B, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 21, 34, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MINT
MIND
"	"B, D"	4	4	24	4	4	B	C	"B, C, E"
52			"A, B, C"	break myprogram.cpp:56	"h
l
o"					44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A					"mad
mid
midterm
mind
mint"	"B, D"	4	4	10	4	8	B	C	"C, E"
53	"5
3"	D	A	b 56	"h
l
o"	D	E	"B, C, D"	"A, B, C, E, F"	44	49	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT
"	"B, D"	4	4	10	4	8	B	C	"A, C, E"
54	"5
3"	"D, E"	"B, C"	break 56	"h
l
o"	"B, D"	E	"C, D"	"A, B, E, F"	44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	3	3	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT

"	"B, D"	4	4	10	4	4	B	C	"A, C, D, E"
55	"5
3"	"A, B, C, D"	"A, B, C"	b myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"mad
mid
midterm
mind
mint"	"B, D"	4	4	8	4	4			
56	"5
3"	D	"A, B, C"	b 56	"h
l
o"	B	E	"B, C, D"	"A, B, C, D, E, F"	44	50	2	"A, C, D"	"B, C, D, E"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	1	2	C	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	6	"MAD
MID
MIDTERM
MINT
MIND"	D	4	4	19	4	4	B	C	"C, D, E"
57	"5
3"	E	"A, B, C"	break 56	"h
l
o"	"A, B"	D	"B, C, D"	"A, B, C, E, F"	0	51	0	"A, C, D"	"B, D, E"	"E, C, L, B, F, A, G"	C	A	2	B	"C, D"	2	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	4	"mad
mid
midterm
mind
mint
"	"B, D"	4	4	24	4	5	B	D	"C, D, E"
58	"5
3"	D	"A, B, C"	break myprogram.cpp:56	"h
l
o"	E	E	"B, C, D"	"A, B, C, E, F"	43	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, B"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	4	"MAD
MID
MIDTERM
MIND
MINT"	C	4	4	10	4	5	A	C	"C, E"
